;Unnamed: 0;Vehicle;TCO (â‚¬/km);LCE;TCO_Capex;TCO_Opex;Em_fc;Em_vc;FE;L (years);D (km);r (%);Em_elFC (gGHG/kWh);Em_elVC (gGHG/kWh);Em_elBatt (gGHG/kWh);C_fuel;cd_phev (%);fe_phev_cd (%);fe_phev_cs (%);c_phev_el;c_phev_synth;E_battPHEV;E_batt;P_batt;P_fc;C3;C5;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_fcSet;CF;w_h2;w_synth;s_ren
0;0;BEV;6.1318;1055.4998;31191.6818;0.1162;76.4078;5076690.2142;18.3438;5.1851;1000.0;2.9781;300.8552;990.86;111.3484;0.2716;72.7889;0.0;0.0;0.0;0.0;0.0;45.1215;0.0;0.0;72.2286;0.0;95.1139;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.0373;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0
1;1;BEV;2.4471;894.8356;41517.0708;0.3454;7.5476;17527309.0494;23.5546;19.7538;1000.0;2.2916;23.9015;828.8551;619.5574;0.8487;65.3048;0.0;0.0;0.0;0.0;0.0;97.6093;0.0;0.0;74.5918;0.0;149.7508;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.0406;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0
2;2;FCEV;15.6138;1686.8302;80381.2008;0.1115;242.5819;7488572.1026;1.0225;5.1851;1000.0;2.9781;300.8552;990.86;111.3484;3.8665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.2155;91.5883;42.2286;0.0;95.1139;97.8792;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;0.0441;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0
3;3;FCEV;3.9655;334.1536;74223.4888;0.2081;20.7316;6191275.4975;1.1615;19.7538;1000.0;2.2916;23.9015;828.8551;619.5574;8.7258;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.5855;82.4331;44.5918;0.0;149.7508;32.6136;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;0.0435;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0
4;4;PHEV;1.6318;243.4331;27147.8595;0.2574;18.8542;4436285.8511;16.4078;19.7538;1000.0;2.2916;23.9015;828.8551;619.5574;0.9057;0.7279;18.3438;11.2291;0.2716;2.6018;13.4771;0.0;0.0;0.0;69.312;0.0;95.1139;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;0.0461;1795.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
5;5;PHEV;1.8539;69.6726;27818.2708;0.1318;42.1633;444372.6365;20.0519;16.1535;1000.0;1.9616;94.6382;82.0347;809.8471;0.3714;0.8446;22.5996;6.207000000000001;0.1047;1.821;16.6637;0.0;0.0;0.0;83.9401;0.0;117.1571;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;0.0441;1795.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
6;6;ICEV;4.8689;1283.5138;24302.0;0.182;502.6012;4049109.7004;8.45;5.1851;1000.0;2.9781;300.8552;990.86;111.3484;1.0833;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.6744;0.0;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0449;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
7;7;ICEV;1.7180000000000002;222.1205;24302.0;0.4878;50.6153;3387880.2209;11.2291;19.7538;1000.0;2.2916;23.9015;828.8551;619.5574;2.6018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.5101;0.0;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0474;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
0;0;BEV;3.0194;268.6723;32347.5203;0.386;9.8664;3179067.8743;24.5128;6.1418;2000.0;2.4474;26.2352;652.2626;59.8334;0.9713;81.7422;0.0;0.0;0.0;0.0;0.0;41.1097;0.0;0.0;65.1808;0.0;132.5118;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.0361;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0
1;1;BEV;2.0105;973.0767;35268.6667;0.3621;135.942;17911333.5851;22.9346;10.698;2000.0;1.5659999999999998;430.5557;897.4652;893.5522;0.807;83.0939;0.0;0.0;0.0;0.0;0.0;66.223;0.0;0.0;72.6385;0.0;126.37100000000001;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;0.0359;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0
2;2;FCEV;6.3497;442.0506;75215.95599999999;0.2264;29.4763;5067897.3248;1.187;6.1418;2000.0;2.4474;26.2352;652.2626;59.8334;9.7581;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.7265;98.4159;35.1808;0.0;132.5118;38.3128;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;0.0451;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0
3;3;FCEV;4.109;706.3405;82936.4076;0.2327;384.9809;6875809.5951;1.1449;10.698;2000.0;1.5659999999999998;430.5557;897.4652;893.5522;8.3744;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.6804;86.6117;42.6385;0.0;126.37100000000001;132.1351;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;0.0461;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0
4;4;PHEV;1.8095;544.6623;27270.8504;0.5349;320.1801;4803021.3672;22.0271;10.698;2000.0;1.5659999999999998;430.5557;897.4652;893.5522;1.2489;0.8174;24.5128;10.8985;0.9713;2.492;10.6017;0.0;0.0;0.0;64.0827;0.0;132.5118;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;0.0456;1795.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
5;5;PHEV;1.1417;248.7622;28073.7829;0.1303;159.9251;2466029.0222;13.6079;13.8795;2000.0;2.8923;244.9135;460.2529;216.6958;0.4521;0.6828;15.9943;8.4699;0.1595;1.082;20.1951;0.0;0.0;0.0;77.3532;0.0;109.3227;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;0.0434;1795.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
6;6;ICEV;2.5269999999999997;288.2759;24302.0;0.5486;71.1481;2667110.8684;11.7401;6.1418;2000.0;2.4474;26.2352;652.2626;59.8334;2.9244;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.217;0.0;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0464;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
7;7;ICEV;1.6507;1091.4142;24302.0;0.5149;919.9842;3667915.0884;10.8985;10.698;2000.0;1.5659999999999998;430.5557;897.4652;893.5522;2.492;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.1662;0.0;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0427;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
